id,text,cleaned_text,label_name,label
91,basic human rightswhat for so how are u guys on jews and blacksben n i hate them,basic human rightswhat for so how are u guys on jews and blacksben n i hate them,Implicit HS,2
92,#javanka & #globalistgary replaced & as the white house strategic advisors .,javanka & globalistgary replaced & as the white house strategic advisors .,Not HS,0
93,2 / the social democrats are the cuck party  the swedish democrats are the right wing nationalist party who resist the invasion .,2 / the social democrats are the cuck party the swedish democrats are the right wing nationalist party who resist the invasion .,Implicit HS,2
94," is goal 1 / trying to ignore race  or 2 / trying to disempower the  "" white privilege "" "" class 3 / cultural marxism ? ? ? """," is goal 1 / trying to ignore race or 2 / trying to disempower the "" white privilege "" "" class 3 / cultural marxism ? ? ? """,Implicit HS,2
95,another ( ( white ) ) supremacist ethno-nationalist,another ( ( white ) ) supremacist ethno-nationalist,Not HS,0
96,Having a criminal record is more attractive to women than having a PhD A violent alpha male is the ultimate sexual desire for women.,having a criminal record is more attractive to women than having a phd a violent alpha male is the ultimate sexual desire for women.,Implicit HS,2
97,babar ... might be a good idea to not poke the bear little man  big words only get little people so far .,babar ... might be a good idea to not poke the bear little man big words only get little people so far .,Not HS,0
98,"let in jews and it becomes a """"nations of immigrants"""" in another month.","let in jews and it becomes a """"nations of immigrants"""" in another month.",Implicit HS,2
99,and white cops kill our black men every day .,and white cops kill our black men every day .,Not HS,0
100,we ready skin head coward,we ready skin head coward,Not HS,0
101,you are defending the right to be racist in public and white privilege ... call it what it is,you are defending the right to be racist in public and white privilege ... call it what it is,Not HS,0
102,you are a racist dem . a member of the proslavery party . you are,you are a racist dem . a member of the proslavery party . you are,Not HS,0
103,eric holder is a racist    kenyan obama is a racist both are waek mindedracist who studied and ape a white man to practice law   lol,eric holder is a racist kenyan obama is a racist both are waek mindedracist who studied and ape a white man to practice law lol,Explicit HS,1
104,: appealing to the weak willed moral cowardice of the postwar right & scaring them into disavowal has been t,: appealing to the weak willed moral cowardice of the postwar right & scaring them into disavowal has been t,Implicit HS,2
105,could care a less about your snark . stop whining and go win or take a seat to your betters,could care a less about your snark . stop whining and go win or take a seat to your betters,Not HS,0
106,wtf ? racist much ? what are all you white people so afraid of ? did you know that there's more of us than there are of you ? hahaha,wtf ? racist much ? what are all you white people so afraid of ? did you know that there's more of us than there are of you ? hahaha,Not HS,0
107,the cop was american the lady who got shot was foreign you massive dumbshits lololol,the cop was american the lady who got shot was foreign you massive dumbshits lololol,Explicit HS,1
108,rt : did you miss speaking yesterday about how society benefits from marriage ? see more here :,rt : did you miss speaking yesterday about how society benefits from marriage ? see more here : ,Not HS,0
109,"the prophet mohammed and his wife walk into a pub and the barman says , "" sorry , mo , kids have to stay outside in the garden . ""","the prophet mohammed and his wife walk into a pub and the barman says , "" sorry , mo , kids have to stay outside in the garden . """,Implicit HS,2
110,instead of washing muslims feet  apologizing for islam . francis should watch this video .,instead of washing muslims feet apologizing for islam . francis should watch this video .,Implicit HS,2
111,#rotherham - the beginning of white live - #isis,rotherham - the beginning of white live - isis,Not HS,0
112,hypocrisy  thy name is - challenges modi for a debate - then unfollows who offered a debate,hypocrisy thy name is - challenges modi for a debate - then unfollows who offered a debate,Not HS,0
113,white culture,white culture,Not HS,0
114,lmao . so ... who among those was at the white house ? what are their names ?,lmao . so ... who among those was at the white house ? what are their names ?,Not HS,0
115," cuckservatives : federal judge james robart says  "" black lives matter "" "" via """," cuckservatives : federal judge james robart says "" black lives matter "" "" via """,Not HS,0
116,aren't you busy making excuses for syrian rapists ?,aren't you busy making excuses for syrian rapists ?,Implicit HS,2
117,great getting with the program and trump !,great getting with the program and trump !,Not HS,0
118,how can there be white nationalism or europe vased nationalism without violence or genocide . we are all americans  how can you have a pure european america ?,how can there be white nationalism or europe vased nationalism without violence or genocide . we are all americans how can you have a pure european america ?,Not HS,0
119,whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are  in their respective countries,whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are in their respective countries,Implicit HS,2
120," a  "" true conservative "" "" wants to know how we will secure the border of ukraine and south korea """," a "" true conservative "" "" wants to know how we will secure the border of ukraine and south korea """,Not HS,0
121,they were a bunch of kids  showing his christian humanity is not a traitorous act ! #cruzcrew,they were a bunch of kids showing his christian humanity is not a traitorous act ! cruzcrew,Not HS,0
122,not defending the kkk any more than i defend any group on free speech grounds .,not defending the kkk any more than i defend any group on free speech grounds .,Not HS,0
123,they also founded america as a white country  and would stand with th,they also founded america as a white country and would stand with th,Implicit HS,2
124,poll : 40 percent of white people have no non-white friends in the usa ! read more : via,poll : 40 percent of white people have no non-white friends in the usa ! read more : via,Not HS,0
125,black man punches white woman,black man punches white woman,Not HS,0
126,might want to have me on so we can have the whole manlete nationalism crew,might want to have me on so we can have the whole manlete nationalism crew,Not HS,0
127,"  "" i was going to save the white race  but then i saw a swastika . "" "" """," "" i was going to save the white race but then i saw a swastika . "" "" """,Implicit HS,2
128,another hindu priest attacked and his sacred thread stripped - sanskriti - indian culture,another hindu priest attacked and his sacred thread stripped - sanskriti - indian culture,Not HS,0
129,what's the deal / is it wrong now to be superior and white ?,what's the deal / is it wrong now to be superior and white ?,Implicit HS,2
130,however  if it's filled w / white  racist  anti semites t,however if it's filled w / white racist anti semites t,Not HS,0
131,Waiting for riots? White girl fatally stabbed at gov't school by...,waiting for riots? white girl fatally stabbed at gov't school by...,Implicit HS,2
132,i love it ! the media needs to stop saying that every black loves obama  every woman loves hillary  and every white for trump is racist .,i love it ! the media needs to stop saying that every black loves obama every woman loves hillary and every white for trump is racist .,Not HS,0
133,much of trump immigration plan not ' radical ' in gop circles ... our spokesman explains why via,much of trump immigration plan not ' radical ' in gop circles ... our spokesman explains why via,Not HS,0
134,what do white liberals like eraserhead think that their assault on white christians will accomplish ?,what do white liberals like eraserhead think that their assault on white christians will accomplish ?,Not HS,0
135,are you like an actual for real white supremacist ?,are you like an actual for real white supremacist ?,Not HS,0
136,if omar mateen's father was at a trump rally they would be calling for trump's head and calling him an insensitive bigot ! hypocrites !,if omar mateen's father was at a trump rally they would be calling for trump's head and calling him an insensitive bigot ! hypocrites !,Not HS,0
137,meaning ... they cast white actors in non-white roles .,meaning ... they cast white actors in non-white roles .,Not HS,0
138,jewish #banking must be fair,jewish banking must be fair,Not HS,0
139,What do you call it when a black person hides from a cop at night? Good use of camouflage.,what do you call it when a black person hides from a cop at night? good use of camouflage.,Implicit HS,2
140,in india no agarwal helpsterrorists but kejri is antinationalistelement  against hindus & helpterrorists #kejriwalshamesagarwals #modipmbedicm,in india no agarwal helpsterrorists but kejri is antinationalistelement against hindus & helpterrorists kejriwalshamesagarwals modipmbedicm,Not HS,0
141,is adult abortion ok ? oklahoma's botched lethal injection starts new front in battle over executions,is adult abortion ok ? oklahoma's botched lethal injection starts new front in battle over executions,Not HS,0
142,why is that a stupid conclusion ? also  i agree that black and white people shouldn't date .,why is that a stupid conclusion ? also i agree that black and white people shouldn't date .,Implicit HS,2
143,white pride worldwide women's tank top | read more : via,white pride worldwide women's tank top | read more : via,Not HS,0
144,facts . workers of all colors are the enemy .  black / white . send us to,facts . workers of all colors are the enemy . black / white . send us to,Not HS,0
145,germany : national socialist island resort to be turned into luxury flats #swrm #germany #ns #wn via,germany : national socialist island resort to be turned into luxury flats swrm germany ns wn via,Not HS,0
146,tell the sheriffs to do their job . president obama is busy doing his own .,tell the sheriffs to do their job . president obama is busy doing his own .,Not HS,0
147," the roots of la raza was about  "" improving the race "" "" to european standards . it's insane how quickly it changed into "" "" kill whitey ! ! "" "" """," the roots of la raza was about "" improving the race "" "" to european standards . it's insane how quickly it changed into "" "" kill whitey ! ! "" "" """,Not HS,0
148,a look at white nationalism in america - abc news - via,a look at white nationalism in america - abc news - via,Not HS,0
149,more relatives of #chinas top leaders implicated in #panamapapers :,more relatives of chinas top leaders implicated in panamapapers :,Not HS,0
150,if promoting a war is actually starting it then the alt right should all be in jail be,if promoting a war is actually starting it then the alt right should all be in jail be,Not HS,0
151,' holocaust ' debate / comments / news questions for revisionists : i preface this post by saying i do not agre ...,' holocaust ' debate / comments / news questions for revisionists : i preface this post by saying i do not agre ...,Not HS,0
152,"if there are moderate muslims, they're heretics according to koran. allows no peaceful coexistence. submit or die.","if there are moderate muslims, they're heretics according to koran. allows no peaceful coexistence. submit or die.",Implicit HS,2
153,the first line is a lie . no one says it's a nation of immigrants because we let immigrants in before . it's because all of our ancestors are,the first line is a lie . no one says it's a nation of immigrants because we let immigrants in before . it's because all of our ancestors are,Not HS,0
154,and this is why the enlistment is so low !,and this is why the enlistment is so low !,Not HS,0
155,even kids ? i know its normal to justify the police regardless . these people were unarmed and you still mentioned weapons,even kids ? i know its normal to justify the police regardless . these people were unarmed and you still mentioned weapons,Not HS,0
156,rt despite #obama promise #fedfunds going 2 #pp through #obamacare grants #stopppobamagrants join us >,rt despite obama promise fedfunds going 2 pp through obamacare grants stopppobamagrants join us >,Not HS,0
157,two great videos : #whitepeople #whitepride #hitler #14words #ows #tlot #p2 #honor,two great videos : whitepeople whitepride hitler 14words ows tlot p2 honor,Implicit HS,2
158,"  "" abbott is racist "" "" sign-holder : #anchorbaby or #dreamer ? #enddaca #buildthewall """," "" abbott is racist "" "" sign-holder : anchorbaby or dreamer ? enddaca buildthewall """,Not HS,0
159,white house criticizes vladimir putins posture #russia #putin,white house criticizes vladimir putins posture russia putin,Not HS,0
160,the rise of white identity politics via,the rise of white identity politics via,Not HS,0
161,<--- founded by a white spastic who hits women .,<--- founded by a white spastic who hits women .,Implicit HS,2
162,all white males .,all white males .,Not HS,0
163,howard university  lol,howard university lol,Not HS,0
164,well u don't need power to be a racist,well u don't need power to be a racist,Not HS,0
165,reduce the welfare line and criminal activity!!! deport!!,reduce the welfare line and criminal activity!!! deport!!,Implicit HS,2
166,#australia defence force advised to wear civvies #islam #islamophobia #tcot #antimuslim #terrorism,australia defence force advised to wear civvies islam islamophobia tcot antimuslim terrorism,Not HS,0
167,believes trump supporters are the dregs of white america . no  we are the angriest about what has happened to white america,believes trump supporters are the dregs of white america . no we are the angriest about what has happened to white america,Implicit HS,2
168,race traitor ? how do you know this person is white ?,race traitor ? how do you know this person is white ?,Not HS,0
169,/tea party got bamboozle by rats for obama,/tea party got bamboozle by rats for obama,Implicit HS,2
170,all his victims were white  no ?,all his victims were white no ?,Not HS,0
171,dr3 fail : texas southern activists ' no platform ' us sen . cornyn via,dr3 fail : texas southern activists ' no platform ' us sen . cornyn via,Not HS,0
172,Owner of my company opening up sexual harassment training class:: I don't believe in sexual harassment. I think it's just something made up by militant lesbians.,owner of my company opening up sexual harassment training class :: i don't believe in sexual harassment. i think it's just something made up by militant lesbians.,Implicit HS,2
173,just to be clear im not saying that  but people who don't wanna take his advice will say that,just to be clear im not saying that but people who don't wanna take his advice will say that,Not HS,0
174,so proud of my girls ! i've always argued feminist victimhood tactics are one of the good kinds of identity politics .,so proud of my girls ! i've always argued feminist victimhood tactics are one of the good kinds of identity politics .,Implicit HS,2
175,: 9 year old white boy commits suicide after being tormented for months by racist arabs,: 9 year old white boy commits suicide after being tormented for months by racist arabs,Implicit HS,2
176,you're contending he is an anti-jihad racist ? what race is jihad again ?,you're contending he is an anti-jihad racist ? what race is jihad again ?,Not HS,0
177,white guilt is a disease,white guilt is a disease,Not HS,0
178," but wait - aren't you jewish ?  "" russian-american "" "" is a bit disingenuous no ? you're a jew  first and foremost """," but wait - aren't you jewish ? "" russian-american "" "" is a bit disingenuous no ? you're a jew first and foremost """,Not HS,0
179,anyone who voted for trump is a racist like him . it doesn ; t matter your color  creed  background or profession . you're a racist . god bless .,anyone who voted for trump is a racist like him . it doesn ; t matter your color creed background or profession . you're a racist . god bless .,Not HS,0
180,it's true trump's win has sparked an increase in racist rhetoric  but we can hope this vilification of white voters will eventually abate,it's true trump's win has sparked an increase in racist rhetoric but we can hope this vilification of white voters will eventually abate,Not HS,0
181,back of his trailer ! are we still typing white privilege ! i thought i'll white ppl have mansions !,back of his trailer ! are we still typing white privilege ! i thought i'll white ppl have mansions !,Implicit HS,2
182,can't wait to hear them wail when someone they loved ones is raped or killed by one of their pet non whites !,can't wait to hear them wail when someone they loved ones is raped or killed by one of their pet non whites !,Explicit HS,1
183,defendng yourself is only ok if you're white ?,defendng yourself is only ok if you're white ?,Not HS,0
184,hahaha glad to see we're still keeping in the full court press in charlottesville .,hahaha glad to see we're still keeping in the full court press in charlottesville .,Not HS,0
185,good ! man i'd hate to be a native born white in any of those cities .,good ! man i'd hate to be a native born white in any of those cities .,Implicit HS,2
186,it is called weaponized artificial mass migration created to destroy the white race the western world .,it is called weaponized artificial mass migration created to destroy the white race the western world .,Implicit HS,2
187,the media clearly does support the suppression of political views  but in this they own it .,the media clearly does support the suppression of political views but in this they own it .,Not HS,0
188,have you looked into what hunter has to say and what he's organizing to do ?,have you looked into what hunter has to say and what he's organizing to do ?,Not HS,0
189,video : robert spencer on google changing its search results to spike criticism of islam |,video : robert spencer on google changing its search results to spike criticism of islam |,Not HS,0
190,they have strategically taken out altlight people but leave us altright alone because we are not involved in this power play . american renaissance will not counter signal against jews . they like all white looking people and disgustingly praise ashkenazi iq ( which is a lie ) .,they have strategically taken out altlight people but leave us altright alone because we are not involved in this power play . american renaissance will not counter signal against jews . they like all white looking people and disgustingly praise ashkenazi iq ( which is a lie ) .,Not HS,0
191,: uk : students in islamic schools taught sharia amputation methods and that jews are conspiring to take over ..., : uk : students in islamic schools taught sharia amputation methods and that jews are conspiring to take over ...,Implicit HS,2
192,i'm also a new mp . i too have to learn from seniors : pm at bjp workshop don't learn from a few,i'm also a new mp . i too have to learn from seniors : pm at bjp workshop don't learn from a few,Not HS,0
193,rt 11am at house triangle #prolife members & groups will call for end to #obamacare funding of abortion :,rt 11am at house triangle prolife members & groups will call for end to obamacare funding of abortion :,Not HS,0
194,every liberal  interacial  and white trash does,every liberal interacial and white trash does,Explicit HS,1
195,extinction of america's white population speeds up #swrm #extinction #whitepopulation #whitegenocide,extinction of america's white population speeds up swrm extinction whitepopulation whitegenocide,Implicit HS,2
196," rt if you think is a  "" vulgarian  "" "" but megyn kelly is a princess  you might be a #cuckservative """," rt if you think is a "" vulgarian "" "" but megyn kelly is a princess you might be a cuckservative """,Explicit HS,1
197,national character has to be improved .,national character has to be improved .,Not HS,0
198,what's worse : a white animal abuser or a black jew ?,what's worse : a white animal abuser or a black jew ?,Implicit HS,2
199,why are we following the antifa policy of peace through violence ?,why are we following the antifa policy of peace through violence ?,Not HS,0
200,nice super bowl racist song ! we are losing america slowly !,nice super bowl racist song ! we are losing america slowly !,Not HS,0
201,it has gotten so bad that loving your family and friends is racist if you're white even if you think people are equal .,it has gotten so bad that loving your family and friends is racist if you're white even if you think people are equal .,Not HS,0
202,not sure how a private corporation not wanting white nationalists to spread hate on their platform is stupid .,not sure how a private corporation not wanting white nationalists to spread hate on their platform is stupid .,Not HS,0
203,what is #hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?,what is hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?,Implicit HS,2
204,more proof : multiculturalism is a codeword for ethnic cleansing of native whites .,more proof : multiculturalism is a codeword for ethnic cleansing of native whites .,Implicit HS,2
205,your friend hitler was a meth addict .,your friend hitler was a meth addict .,Not HS,0
